dataset,method,AUC,OP50,OP75,Precision,NormPrec,FPS
threemdottest,MultiAbaTrack,36.94,47.15,21.32,54.16,66.11,6.91
threemdottest,MultiAbaTrack,45.61,57.73,36.46,61.49,74.67,6.61
threemdottest,MyThreeTrack,48.77,61.63,42.08,63.97,78.45,8.62
threemdottest,MultiAbaTrack,44.93,56.43,36.13,60.68,73.42,5.92
dtb70three,MultiAbaTrack_MDOT,55.38,71.29,29.36,77.88,68.9,6.94
dtb70three,MultiAbaTrack_WO_MDOT,59.76,74.5,45.0,78.28,72.55,6.67
dtb70three,MultiAbaTrack_new_aug,58.71,72.37,46.6,76.45,71.3,6.14

dtb70three,MultiAbaTrack_116,58.71,72.37,46.6,76.45,71.3,6.14

dtb70three,MultiAbaTrack_157,60.92,75.59,49.59,79.35,74.24,6.87
threemdottest,MultiAbaTrack_157,40.72,51.68,25.77,58.81,70.26,6.53
uavdtthree,MultiAbaTrack_157,51.55,65.9,33.58,73.23,59.75,6.18
threemdottest,MultiAbaTrack,45.9,57.4,38.1,61.14,74.58,5.95
threemdottest,MultiAbaTrack,45.12,56.76,37.28,59.91,73.67,6.59
uavdtthree,MultiAbaTrack,47.73,59.63,26.05,71.8,54.35,7.04

threemdottest,MultiTempTrack,42.08,53.94,26.41,60.63,72.18,9.87
uavdtthree,MultiTempTrack,53.92,68.96,34.43,77.35,62.4,7.59
dtb70three,MultiTempTrack,60.18,74.61,46.53,78.09,72.36,7.15
threemdottest,MultiTempTrack,45.37,57.35,37.56,60.58,74.43,9.08

threemdottest,MultiTempTrack,44.94,56.92,37.07,60.14,74.02,7.94
threemdottest,MultiTempTrack,45.9,57.4,38.1,61.14,74.58,5.95

threemdottest,MultiTempTrack,47.03,58.83,38.64,62.86,75.72,9.32
threemdottest,MultiTempTrack,45.72,57.93,37.83,60.96,75.06,10.68
uavdtthree,MultiTempTrack,44.93,56.32,22.83,68.29,51.42,10.37
dtb70three,MultiTempTrack,54.29,70.16,28.96,76.32,67.94,10.88
threemdottest,MultiTempTrack,45.12,56.76,37.28,59.91,73.67,6.59
threemdottest,MultiTempTrack,46.0,57.83,37.92,61.07,75.08,9.92
threemdottest,MultiTempTrack,46.0,57.83,37.92,61.07,75.08,9.92
threemdottest,MultiTempTrack,45.51,57.15,37.32,60.91,74.09,9.26
